v2017,v2018,description
WhiteSpruce0,WhiteSpruce_0-10,"White Spruce dominated forest, 0-10 yrs post natural disturbance"
WhiteSpruce10,WhiteSpruce_10-20,"White Spruce dominated forest, 10-20 yrs post natural disturbance"
WhiteSpruce20,WhiteSpruce_20-40,"White Spruce dominated forest, 20-40 yrs post natural disturbance"
WhiteSpruce40,WhiteSpruce_40-60,"White Spruce dominated forest, 40-60 yrs post natural disturbance"
WhiteSpruce60,WhiteSpruce_60-80,"White Spruce dominated forest, 60-80 yrs post natural disturbance"
WhiteSpruce80,WhiteSpruce_80-100,"White Spruce dominated forest, 80-100 yrs post natural disturbance"
WhiteSpruce100,WhiteSpruce_100-120,"White Spruce dominated forest, 100-120 yrs post natural disturbance"
WhiteSpruce120,WhiteSpruce_120-140,"White Spruce dominated forest, 120-140 yrs post natural disturbance"
WhiteSpruce140,WhiteSpruce_140+,"White Spruce dominated forest, >140 yrs post natural disturbance"
Pine0,Pine_0-10,"Pine dominated forest, 0-10 yrs post natural disturbance"
Pine10,Pine_10-20,"Pine dominated forest, 10-20 yrs post natural disturbance"
Pine20,Pine_20-40,"Pine dominated forest, 20-40 yrs post natural disturbance"
Pine40,Pine_40-60,"Pine dominated forest, 40-60 yrs post natural disturbance"
Pine60,Pine_60-80,"Pine dominated forest, 60-80 yrs post natural disturbance"
Pine80,Pine_80-100,"Pine dominated forest, 80-100 yrs post natural disturbance"
Pine100,Pine_100-120,"Pine dominated forest, 100-120 yrs post natural disturbance"
Pine120,Pine_120-140,"Pine dominated forest, 120-140 yrs post natural disturbance"
Pine140,Pine_140+,"Pine dominated forest, >140 yrs post natural disturbance"
Deciduous0,Deciduous_0-10,"Deciduous dominated forest, 0-10 yrs post natural disturbance"
Deciduous10,Deciduous_10-20,"Deciduous dominated forest, 10-20 yrs post natural disturbance"
Deciduous20,Deciduous_20-40,"Deciduous dominated forest, 20-40 yrs post natural disturbance"
Deciduous40,Deciduous_40-60,"Deciduous dominated forest, 40-60 yrs post natural disturbance"
Deciduous60,Deciduous_60-80,"Deciduous dominated forest, 60-80 yrs post natural disturbance"
Deciduous80,Deciduous_80-100,"Deciduous dominated forest, 80-100 yrs post natural disturbance"
Deciduous100,Deciduous_100-120,"Deciduous dominated forest, 100-120 yrs post natural disturbance"
Deciduous120,Deciduous_120-140,"Deciduous dominated forest, 120-140 yrs post natural disturbance"
Deciduous140,Deciduous_140+,"Deciduous dominated forest, >140 yrs post natural disturbance"
